Gender,Ethnicity,Race,Year,LA For Other Course,Student/LA/TA/Faculty,First Time Student/LA,Time With LA (Min/Week),Parent Has 4-Year Degree,Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Pre-31,Pre-32,Pre-33,Pre-34,Pre-35,Pre-36,Pre-37,Pre-38,Pre-39,Pre-40,Pre-41,Pre-42,Pre-43,Pre-44,Pre-45,Pre-46,Pre-47,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30,Post-31,Post-32,Post-33,Post-34,Post-35,Post-36,Post-37,Post-38,Post-39,Post-40,Post-41,Post-42,Post-43,Post-44,Post-45,Post-46,Post-47
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,No,Student,Yes,,Yes,a,b,d,d,f,e,a,f,c,e,b,e,e,a,h,a,b,g,a,g,a,d,i,a,d,f,a,f,a,f,a,f,a,g,e,c,a,d,a,h,a,b,g,a,a,a,a,a,c,b,f,c,g,d,h,c,e,h,b,d,b,e,g,a,b,c,f,h,i,e,c,a,i,g,e,d,e,g,a,c,e,a,b,d,c,d,a,e,i,h,d,b,a,b
"Woman,Transgender",Cuban,White,2nd,No,Student,Yes,,Yes,a,b,c,g,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,Yes,b,d,b,f,d,f,b,g,d,a,g,d,a,e,e,a,e,b,b,g,a,a,b,c,b,c,a,a,a,a,f,b,e,b,a,c,a,b,d,a,f,b,d,a,b,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,2nd,No,Student,Yes,,Yes,a,b,f,g,b,c,g,f,d,b,f,d,b,a,e,c,h,h,c,f,h,e,g,b,e,a,g,d,b,a,b,b,e,c,f,c,d,b,b,d,h,h,d,c,b,d,b,b,a,c,g,c,a,g,d,b,g,c,e,c,d,c,e,h,d,b,g,g,e,d,b,g,e,d,b,f,d,e,c,a,f,c,d,b,d,a,g,g,d,f,c,b,d,b
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,2nd,No,Student,No,,Yes,a,b,c,g,f,c,e,g,e,b,g,e,b,a,e,c,d,h,b,f,h,a,g,b,f,e,g,e,b,a,e,b,e,b,b,c,c,a,d,a,f,b,d,a,a,c,b,d,f,c,a,b,e,b,e,e,g,d,b,b,h,f,g,e,h,h,g,d,b,a,a,b,d,a,a,a,d,d,d,d,d,d,d,c,c,c,c,e,h,f,a,b,b,b
Man,Bolivian,No Answer,2nd,No,Student,Yes,,No,b,d,f,g,d,c,b,g,d,a,g,d,a,f,e,a,b,g,d,h,f,a,f,c,b,c,g,b,a,b,b,d,a,e,a,c,f,b,e,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,"White,Chinese",2nd,No,Student,Yes,,Yes,a,b,c,g,b,c,e,f,d,b,e,d,a,a,e,c,c,h,c,f,f,e,g,c,e,c,g,d,b,a,f,b,e,b,b,c,a,b,d,a,i,a,d,a,b,c,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,3rd,No,Student,Yes,,Yes,b,b,f,f,b,f,b,e,d,b,g,d,b,a,b,c,a,h,h,f,a,e,g,a,e,a,g,d,b,b,b,e,e,e,d,b,e,b,b,a,h,b,d,b,d,b,c,b,d,f,f,d,g,b,g,d,b,g,d,b,e,e,a,e,b,b,g,e,a,g,b,b,a,g,d,b,e,e,e,e,e,a,c,a,b,e,a,b,b,d,b,b,a,a
Woman,Not of Hispanic/Latinx/Spanish origin,Asian Indian,1st,No,Student,Yes,,Yes,a,b,f,g,d,e,c,h,h,h,b,d,c,a,e,c,i,h,d,g,f,a,f,b,i,a,g,d,b,b,e,b,e,b,b,f,a,b,a,a,f,b,d,a,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,No Answer,2nd,Yes,Student,No,,No Answer,a,b,c,g,b,e,a,b,d,b,g,g,b,c,b,c,d,h,i,f,i,e,g,f,f,a,g,d,b,e,b,g,e,b,b,f,a,b,d,a,f,i,d,a,a,b,b,c,e,f,g,b,d,e,c,e,d,c,e,f,g,g,d,h,i,a,c,e,f,g,f,d,f,g,c,h,b,d,f,b,d,a,d,e,c,f,d,f,d,e,b,a,c,c
Man,Peruvian,White,3rd,No,Student,Yes,,I do not know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,b,c,g,f,e,b,f,d,b,c,d,b,a,e,c,b,h,h,f,f,e,g,f,f,c,a,a,a,e,e,e,e,e,a,b,c,a,e,a,b,b,d,b,d,c,a
Woman,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,No,Student,Yes,,No,b,b,c,e,a,f,e,e,d,f,g,d,b,b,e,c,b,h,h,f,i,e,g,b,f,a,g,d,b,g,b,a,e,g,c,a,f,b,b,a,h,b,a,c,a,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,No,Student,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,c,a,c,e,f,b,f,h,b,e,b,e,c,b,a,f,a,f,b,g,b,g,b,f,g,b,g,b,e,a,b,c,b,a,c,b,a,c,a,f,i,e,d,b,d,b
Woman,brazilian,White,2nd,No,Student,Yes,,Yes,a,b,c,e,b,c,g,f,e,d,f,e,b,a,e,c,d,h,d,f,h,e,g,b,f,a,f,d,b,c,b,b,e,b,b,c,c,b,b,a,i,b,d,c,a,d,c,a,b,c,g,b,c,e,f,d,a,a,a,a,a,b,d,i,b,d,c,g,a,d,g,i,b,f,e,b,a,b,b,e,b,e,c,d,d,c,e,c,a,h,b,a,d,a
Man,Not of Hispanic/Latinx/Spanish origin,"White,Vietnamese",2nd,No,Student,Yes,,Yes,a,b,c,g,b,a,b,e,d,b,f,d,b,c,e,c,a,b,c,f,h,e,g,c,i,i,h,d,g,e,b,e,e,b,b,f,f,f,d,d,f,d,b,c,b,e,e,b,a,d,c,f,c,b,b,d,c,e,b,b,d,b,a,b,c,b,b,a,g,f,d,b,d,b,c,c,b,a,b,a,b,a,c,b,a,b,e,b,a,b,b,c,b,d
Woman,Mexican/Mexican American/Chicano/Chicana,White,3rd,No,Student,Yes,,No,d,c,a,e,b,e,f,d,a,e,d,c,b,d,a,g,d,g,c,e,b,h,i,e,d,c,c,d,e,f,e,g,g,a,b,c,d,e,f,a,b,c,d,c,c,a,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,a,c,c,c,c,d,e,d,d,d,d,d,d,d,d,d,d,d,c,d,d,c,d,d,d,e,e,e,d,c,c,d,d,c,d,c,c,d,d,c,d,e,c,b,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,No,b,d,f,f,d,b,b,a,b,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,No,,Yes,a,b,f,g,b,c,e,g,d,b,g,d,b,a,e,c,a,d,c,f,f,a,g,a,a,c,g,d,b,a,f,b,a,b,a,c,a,b,e,a,h,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,Chinese,2nd,No,Student,Yes,,No,a,b,c,g,a,c,f,f,d,c,g,d,a,a,e,c,b,h,g,f,g,a,g,b,g,a,g,d,b,d,b,b,e,b,c,c,b,b,d,d,h,b,d,c,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Man,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,Yes,,Yes,a,b,f,g,b,e,b,a,a,b,c,d,f,a,e,c,d,h,b,f,h,a,g,b,f,a,g,d,b,a,e,f,e,b,b,d,f,f,e,a,h,b,d,a,b,e,d,b,b,d,g,b,f,a,g,d,b,a,d,b,a,b,a,e,b,b,f,a,a,b,c,b,a,g,d,b,a,f,f,f,b,b,c,a,b,d,a,b,e,d,a,b,b,b
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,c,e,g,a,c,b,f,d,b,g,d,b,a,e,c,b,h,d,g,f,e,g,b,f,a,g,d,b,a,e,c,e,b,b,c,a,b,a,a,c,b,d,a,a,a,a,a,b,c,g,b,c,e,f,d,b,g,d,b,a,e,c,d,h,g,f,h,a,b,c,f,c,c,d,f,a,e,b,e,b,f,c,a,b,d,a,b,b,d,a,a,b,b
Man,Bolivian,No Answer,2nd,No,Student,Yes,,No,a,b,c,g,f,h,b,a,c,h,b,e,g,a,f,c,c,g,f,h,i,a,d,d,h,f,b,a,f,e,e,c,a,f,f,f,b,a,e,b,c,d,h,d,b,a,a,c,f,h,a,c,e,c,g,a,b,d,c,c,a,f,g,c,g,a,g,c,h,b,e,a,d,b,c,a,c,b,a,a,a,a,a,a,a,b,e,h,b,c,c,d,a,c
Man,Not of Hispanic/Latinx/Spanish origin,Korean,1st,No,Student,Yes,,No,b,h,f,f,d,b,b,a,a,a,a,a,a,e,i,a,e,b,b,g,e,a,b,c,a,c,a,a,a,e,e,e,e,e,b,c,a,b,e,a,f,b,d,b,b,a,a,b,d,f,f,d,f,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,c,c,c,a,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,No,,Yes,b,d,f,f,d,b,f,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,g,g,g,g,g,a,c,a,b,d,a,f,b,d,b,b,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,No,b,c,c,e,b,c,e,f,d,a,f,d,a,e,e,c,e,b,b,g,f,a,g,b,f,a,a,a,a,a,f,b,e,b,a,c,a,b,e,a,b,b,d,a,d,d,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,2nd,No,Student,Yes,,No,b,e,c,g,b,a,e,f,d,b,g,d,b,h,h,h,d,h,d,f,h,c,g,d,a,b,c,b,d,e,f,d,b,e,e,e,c,c,a,g,f,f,e,a,b,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,No,Student,Yes,,Yes,a,b,c,f,b,c,e,f,a,d,c,b,e,a,h,d,d,g,h,b,f,c,g,d,c,h,d,h,c,e,c,g,b,b,c,d,f,c,b,h,f,g,i,a,c,d,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,Yes,Student,No,,Yes,b,a,c,g,b,a,b,b,d,f,d,c,b,d,b,a,d,c,b,b,a,h,d,c,b,f,f,b,e,b,e,d,b,d,d,e,a,c,a,d,g,d,c,c,b,a,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,1st,No,Student,Yes,,Yes,b,d,f,g,d,a,g,a,d,a,c,d,b,a,f,d,d,g,a,h,c,c,d,c,d,f,a,d,a,b,b,b,e,e,b,a,a,c,e,d,c,f,b,c,c,b,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,2nd,No,Student,Yes,,Yes,b,d,f,f,d,f,b,e,d,a,e,d,a,e,e,a,b,b,b,g,h,a,b,c,b,c,g,d,a,e,e,e,e,e,a,c,a,b,d,a,h,b,d,a,a,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,Yes,,Yes,b,d,c,f,a,c,e,f,d,c,g,d,b,a,b,c,d,h,d,f,f,f,d,e,g,e,f,d,b,e,b,a,e,a,b,d,c,a,b,a,d,b,d,a,c,b,a,a,b,c,g,b,c,e,f,d,a,e,d,a,d,b,c,f,h,a,f,g,e,d,f,g,e,e,d,a,e,b,a,e,d,a,d,a,b,d,d,h,c,d,d,a,c,c
Woman,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,Yes,,Yes,b,b,g,f,b,c,e,g,d,b,g,d,b,a,e,c,d,g,i,f,i,e,d,g,f,a,g,d,b,a,d,c,e,b,a,c,d,b,e,d,f,h,d,a,d,a,b,b,d,f,f,d,b,b,a,a,a,a,a,a,a,b,d,i,h,d,f,i,a,b,c,a,c,a,a,a,c,a,f,c,d,b,e,a,a,e,f,a,h,d,a,a,a,a
Man,Not of Hispanic/Latinx/Spanish origin,Korean,2nd,No,Student,Yes,,No,a,b,e,g,b,g,a,e,a,b,e,a,a,d,a,c,b,g,f,f,d,a,b,c,f,c,c,d,a,e,b,b,e,b,a,c,a,b,e,a,f,a,d,a,a,a,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Korean,2nd,No,Student,Yes,,No,b,d,f,f,d,b,b,a,d,a,g,d,b,e,e,a,e,b,b,i,e,a,b,c,d,e,a,a,a,a,f,b,e,b,b,c,a,a,d,a,f,b,d,b,b,a,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Other,Asian Indian,2nd,Yes,Student,No,,Yes,b,f,h,c,c,f,e,f,c,d,b,f,h,d,b,d,g,a,f,h,e,e,c,d,i,d,e,b,g,e,d,f,b,c,a,c,e,d,d,c,g,g,c,d,c,b,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,3rd,Yes,Student,No,,Yes,a,b,c,g,b,c,e,e,d,b,g,d,a,a,e,c,b,h,d,f,f,e,g,b,f,a,g,d,a,a,f,e,e,b,b,c,a,b,d,a,f,b,d,a,b,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Cuban,White,2nd,No,Student,Yes,,Yes,d,b,f,g,b,c,e,d,d,b,c,d,f,a,e,c,b,h,d,g,b,e,d,i,f,a,c,e,a,e,b,e,f,f,a,e,c,e,b,g,b,d,f,c,a,c,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Chinese,1st,No,Student,No,,Yes,b,d,f,f,d,b,b,g,d,b,g,d,b,a,e,c,b,b,c,g,h,a,b,c,b,a,a,a,a,e,e,e,e,e,a,a,a,a,e,a,i,b,d,a,a,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Answer,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,c,f,f,d,b,b,g,d,b,g,d,b,e,e,a,b,b,b,g,e,a,b,c,b,c,a,a,a,a,e,b,e,b,a,a,a,a,e,a,f,b,d,a,b,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Vietnamese,2nd,No,Student,No,,Yes,a,b,c,e,b,c,e,g,d,b,g,d,a,a,e,c,b,h,b,f,d,e,b,c,a,c,b,d,b,a,a,e,e,b,c,c,a,b,e,a,b,e,d,a,a,d,b,b,d,c,g,d,b,b,b,d,a,b,d,c,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,e,e,e,e,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,f,g,d,a,b,e,d,a,g,d,b,a,e,c,c,h,c,f,a,e,d,a,e,a,a,d,b,e,e,e,e,e,a,a,a,a,e,a,f,a,d,a,a,e,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Vietnamese,2nd,Yes,Student,Yes,,No,a,d,g,f,a,h,c,b,d,e,c,d,f,e,h,a,i,a,f,d,h,e,g,i,f,a,g,d,b,e,b,e,e,d,f,d,a,b,c,c,b,g,e,c,a,b,c,b,d,f,f,b,g,a,b,b,b,g,d,b,e,e,a,e,b,b,f,h,a,b,c,b,c,g,d,b,e,e,g,e,b,a,c,f,b,d,a,f,b,d,a,a,b,a
Man,Not of Hispanic/Latinx/Spanish origin,Korean,2nd,No,Student,Yes,,Yes,b,d,f,f,d,c,b,a,a,a,a,a,a,e,e,b,e,b,b,g,e,a,b,c,d,e,a,a,a,a,f,b,e,b,b,c,a,a,d,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,"White,Korean",2nd,No,Student,Yes,,Yes,a,b,d,g,b,c,d,h,g,e,a,b,f,a,c,e,b,f,c,a,c,e,a,d,c,c,b,e,c,b,e,d,e,b,b,d,c,d,b,d,f,b,c,c,a,c,d,a,d,c,a,c,d,d,d,c,f,b,a,d,c,a,a,e,g,c,b,c,f,b,c,h,i,b,d,a,b,a,c,d,e,f,b,c,d,a,f,b,e,b,a,a,d,b
Woman,Not of Hispanic/Latinx/Spanish origin,Chinese,3rd,No,Student,Yes,,Yes,a,b,g,g,d,c,b,g,d,b,g,d,b,a,e,c,b,h,d,f,a,e,g,b,f,a,a,a,a,a,f,b,e,b,a,c,a,b,d,a,f,b,d,a,b,d,a,b,h,f,f,d,f,b,g,a,a,g,a,a,h,e,a,b,d,b,g,f,a,b,i,b,i,g,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Man,Other,Chinese,2nd,No,Student,Yes,,I do not know,b,d,f,f,b,a,b,f,d,a,g,d,b,b,e,c,a,i,c,i,c,i,d,a,e,b,f,d,b,e,b,b,e,b,b,c,d,f,c,a,d,b,d,a,c,a,a,a,f,b,c,b,c,g,f,d,b,f,d,b,b,e,c,b,h,c,i,h,e,g,b,e,b,f,d,b,e,a,b,e,b,b,c,a,d,c,d,h,b,d,c,a,c,b
Woman,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,No,Student,Yes,,No,b,b,c,g,d,h,d,b,b,a,c,d,a,a,i,c,a,g,b,i,a,b,a,b,i,g,h,b,b,a,f,g,a,e,f,a,a,b,a,c,a,c,c,a,e,d,b,d,c,a,c,c,c,a,b,f,b,c,d,a,a,b,a,a,b,a,b,b,a,b,b,b,a,b,b,b,b,b,a,a,b,a,b,a,a,a,b,b,a,a,a,a,c,b
Man,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,No,Student,Yes,,Yes,a,b,c,g,b,e,f,g,d,b,g,d,b,a,e,c,d,h,d,f,h,a,b,b,b,c,g,d,b,e,e,e,e,e,a,a,a,a,e,b,f,b,d,b,b,a,a,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,a,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Man,Puerto Rican,No Answer,2nd,No,Student,Yes,,No,a,b,c,g,e,c,a,g,d,b,g,d,b,c,e,c,d,c,d,i,a,e,g,b,f,a,g,d,b,a,f,b,a,b,b,a,c,b,d,a,g,c,a,a,a,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,c,e,b,c,b,c,c,e,a,g,e,c,e,b,c,e,c,b,a,d,d,h,f,a,d,h,b,g,d,e,c,c,f,d,b,a,b,d,i,g,c,c,c,c,a,b
Man,No Answer,No Answer,3rd,No,Student,Yes,,No,a,b,f,g,c,c,e,f,d,b,e,d,f,c,b,a,d,d,g,f,i,a,b,f,f,e,g,d,b,d,a,b,e,b,b,d,d,b,b,a,h,h,d,a,c,b,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,guatemala,"American Indian or Alaskan Native,A Pacific Islander Race not listed",3rd,No,Student,Yes,,No,a,b,c,g,b,c,e,f,d,a,f,d,b,a,e,c,d,f,d,f,f,e,f,g,f,a,g,d,b,d,a,b,e,b,b,c,c,b,d,a,h,c,d,a,c,c,a,a,b,c,g,b,c,e,e,e,a,f,d,e,c,e,c,g,h,d,f,f,e,g,f,f,e,b,d,g,a,e,b,e,b,d,d,b,b,b,d,c,h,d,b,b,c,b
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,1st,No,Student,Yes,,Yes,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,"White,Chinese",2nd,No,Student,Yes,,Yes,a,b,c,g,d,f,b,g,d,b,g,d,c,e,b,c,d,g,d,f,a,a,g,i,f,c,b,a,b,g,a,a,e,b,a,c,c,b,b,a,f,b,d,b,b,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,4th,No,Student,No,,No,a,b,c,g,b,d,e,f,d,b,f,d,c,a,e,c,h,h,d,f,a,e,g,b,f,a,e,d,a,a,b,c,e,b,b,c,d,b,b,d,f,h,d,a,b,c,a,b,c,d,b,a,b,c,d,f,a,d,c,b,f,c,e,c,b,e,c,d,b,d,b,e,d,a,b,c,b,b,c,d,c,c,c,b,a,b,b,c,d,c,c,c,c,d
Woman,Not of Hispanic/Latinx/Spanish origin,Black or African American,3rd,No,Student,Yes,,No,g,d,e,f,d,c,b,a,a,a,d,f,c,e,d,a,e,b,e,b,a,g,e,e,a,d,c,d,a,d,c,b,f,a,a,a,d,a,c,a,c,h,e,c,a,c,e,b,d,f,f,d,b,d,a,d,b,f,b,e,a,c,f,c,a,c,f,b,e,c,c,d,a,a,c,a,b,c,b,c,e,a,c,a,b,a,a,c,a,a,c,a,b,b
Man,Not of Hispanic/Latinx/Spanish origin,"White,Middle Eastern or North African",2nd,No,Student,Yes,,Yes,b,a,c,f,a,c,e,g,d,b,g,d,b,c,e,a,c,h,a,f,h,e,g,a,f,a,e,d,a,a,b,b,e,b,b,c,c,b,d,a,f,i,a,a,a,c,c,a,b,c,g,b,c,e,g,d,b,g,d,b,a,e,c,b,h,d,f,e,a,i,c,f,c,g,d,b,a,e,e,e,b,b,c,e,b,d,d,f,b,d,a,a,b,c
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,No,Student,Yes,,Yes,c,b,e,g,b,c,e,f,d,g,b,f,b,d,a,b,e,g,c,f,f,h,b,c,f,b,b,b,d,e,c,f,a,d,c,f,a,d,e,c,a,g,h,b,c,c,c,d,e,a,c,b,f,d,f,h,f,g,e,h,d,d,i,i,e,i,f,i,i,e,g,c,a,e,f,a,d,f,d,f,d,e,c,a,e,f,e,g,d,c,c,a,c,a
"Woman,Transgender",Salvadorian,No Answer,2nd,No,Student,No,,No,b,a,f,g,a,c,e,e,a,b,f,d,b,h,e,a,a,h,c,g,f,e,g,b,e,a,g,d,f,a,b,e,e,b,a,c,a,b,e,a,h,b,d,a,b,c,b,b,a,f,f,d,a,b,a,a,a,a,a,a,a,e,a,b,h,c,f,h,a,b,c,b,c,g,d,b,e,e,e,e,e,a,a,a,a,e,a,h,b,d,b,b,a,a
Man,No Answer,White,3rd,No,Student,Yes,,Yes,a,b,f,f,h,f,b,g,d,b,g,d,b,a,e,a,i,b,b,g,i,a,b,i,b,d,g,d,b,f,a,a,e,b,b,c,c,b,a,a,f,b,a,a,a,a,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,White,2nd,No,Student,Yes,,Yes,a,b,c,g,d,e,b,g,d,b,g,d,b,a,e,c,b,h,d,f,h,a,g,c,b,c,g,d,a,a,e,b,e,b,d,c,e,b,d,a,f,b,d,a,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,No,a,b,g,g,d,f,a,g,d,b,g,d,b,a,e,c,b,h,d,f,a,a,g,f,b,a,g,d,b,a,e,b,e,g,d,c,f,b,b,a,f,b,d,a,b,b,b,a,b,g,g,d,e,a,g,d,a,g,d,a,e,e,a,e,b,b,f,h,a,b,c,b,c,g,d,a,a,f,f,e,b,b,c,c,b,e,a,f,b,d,a,b,c,a
Man,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,1st,No,Student,Yes,,Yes,a,b,f,f,d,f,b,a,a,a,a,a,a,e,e,a,e,b,b,g,i,a,b,c,b,c,a,a,a,e,e,e,e,e,b,c,a,b,e,a,f,b,d,b,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,No,,Yes,b,d,f,f,d,b,b,f,d,b,g,d,b,a,e,c,b,h,d,f,f,a,b,c,f,c,g,d,b,a,b,b,e,b,b,c,c,b,d,a,f,b,d,a,a,c,c,a,d,f,f,d,b,b,g,d,a,g,d,a,e,e,c,e,h,d,g,e,a,b,c,b,c,g,d,a,a,a,b,e,e,b,c,a,b,d,a,f,b,d,a,a,a,c
